mode,forgetfulness,tiredness,recovery,intensity,groupSize,propensity,repeats,top5SharePct,top10Stability1Pct,top10Stability10Pct,top10Stability20Pct,totalPower,oligarchyScore
"random",0.108000,0.220000,0.040000,0.060000,7,0,1,13.755925,60,30,10,81.320298,17.255925
"habit",0.144000,0.176000,0,0.060000,7,0.800000,1,10.286898,80,40,20,50.949562,17.286898
"random",0.144000,0.176000,0,0.060000,7,0,1,10.295038,90,30,20,50.980035,17.295038
"habit",0.108000,0.088000,0,0.060000,7,0.200000,1,10.297565,70,40,20,51.262255,17.297565
"habit",0.180000,0.044000,0,0.060000,7,0.400000,1,10.304535,90,20,20,50.805212,17.304535
"habit",0.108000,0.176000,0,0.060000,7,0.600000,1,10.310948,80,40,20,51.257344,17.310948
"random",0.108000,0.044000,0,0.060000,7,0,1,10.318849,80,40,20,51.320385,17.318849
"random",0.144000,0.088000,0,0.060000,9,0,1,10.328906,50,20,20,51.675371,17.328906
"random",0.144000,0.176000,0,0.060000,9,0,1,10.331285,60,20,20,51.632603,17.331285
"habit",0.108000,0.088000,0,0.060000,9,0.400000,1,10.350244,70,30,20,52.221690,17.350244
"random",0.180000,0.044000,0,0.060000,9,0,1,10.352347,60,20,20,51.396129,17.352347
"random",0.108000,0.088000,0,0.060000,7,0,1,10.360035,80,50,20,51.280946,17.360035
"random",0.108000,0.220000,0.040000,0.060000,2,0,1,10.392777,80,20,20,51.169972,17.392777
"random",0.072000,0.220000,0,0.060000,9,0,1,10.392827,60,40,20,53.284036,17.392827
"random",0.108000,0.044000,0,0.060000,9,0,1,10.396411,70,50,20,52.215114,17.396411
"random",0.072000,0.176000,0,0.060000,7,0,1,10.406762,90,30,20,51.878838,17.406762
"random",0.144000,0.044000,0.160000,0.060000,2,0,1,10.411832,80,10,20,50.860785,17.411832
"random",0.144000,0.176000,0.040000,0.060000,2,0,1,10.433076,80,10,20,50.868894,17.433076
"random",0.180000,0.176000,0,0.060000,9,0,1,10.443175,70,30,20,51.376851,17.443175
"random",0.180000,0.220000,0,0.060000,9,0,1,10.445854,70,10,20,51.359995,17.445854
"habit",0.144000,0,0.200000,0.060000,2,0.600000,1,10.447292,80,30,20,50.879612,17.447292
"habit",0.144000,0.176000,0,0.060000,12,0,1,10.450615,40,20,20,53.079110,17.450615
"habit",0.180000,0.044000,0.080000,0.060000,2,0.400000,1,10.457616,80,20,20,50.727558,17.457616
"habit",0.180000,0,0.200000,0.060000,2,0.800000,1,10.466132,80,20,20,50.740586,17.466132
"habit",0.180000,0.132000,0.080000,0.060000,2,0.800000,1,10.470068,90,20,20,50.713428,17.470068
"random",0.108000,0.220000,0,0.060000,9,0,1,10.471225,60,20,20,52.203270,17.471225
"random",0.144000,0,0.120000,0.060000,7,0,1,13.971597,70,10,10,77.195195,17.471597
"random",0.180000,0.088000,0,0.060000,14,0,1,10.472511,60,30,20,53.514154,17.472511
"random",0.144000,0.176000,0.080000,0.060000,2,0,1,10.473422,90,20,20,50.881079,17.473422
"random",0.180000,0.132000,0.200000,0.060000,2,0,1,10.475277,80,10,20,50.716121,17.475277
"random",0.180000,0.044000,0.160000,0.060000,2,0,1,10.477851,80,30,20,50.749501,17.477851
"random",0.108000,0.220000,0.120000,0.060000,2,0,1,10.479649,80,40,20,51.209663,17.479649
"random",0.144000,0.044000,0.040000,0.060000,2,0,1,10.483668,90,10,20,50.910435,17.483668
"random",0.144000,0.220000,0,0.060000,12,0,1,10.488540,80,10,20,53.061514,17.488540
"random",0.180000,0,0.200000,0.060000,2,0,1,10.489503,80,30,20,50.748858,17.489503
"random",0.180000,0.176000,0.160000,0.060000,2,0,1,10.489917,80,50,20,50.712308,17.489917
"random",0.144000,0.044000,0.200000,0.060000,2,0,1,10.490441,80,30,20,50.943201,17.490441
"habit",0.144000,0.176000,0.200000,0.060000,2,0.200000,1,10.491974,80,20,20,50.927926,17.491974
"random",0.144000,0.220000,0.160000,0.060000,2,0,1,10.494497,80,30,20,50.908356,17.494497
"random",0.180000,0.176000,0.040000,0.060000,2,0,1,10.494726,90,20,20,50.712924,17.494726
"habit",0.144000,0,0,0.060000,2,0.800000,1,10.498040,80,30,20,50.905454,17.498040
"random",0.180000,0.176000,0.200000,0.060000,2,0,1,10.501220,90,30,20,50.667159,17.501220
"random",0.180000,0.220000,0.040000,0.060000,2,0,1,10.503159,90,30,20,50.706048,17.503159
"habit",0.180000,0.088000,0.160000,0.060000,7,0.200000,1,14.015951,80,30,10,70.464604,17.515951
"habit",0.180000,0.044000,0,0.060000,9,0.600000,1,10.517989,90,40,20,51.371001,17.517989
"random",0.144000,0,0.080000,0.060000,2,0,1,10.519180,80,20,20,50.918084,17.519180
"habit",0.144000,0.132000,0.040000,0.060000,2,0.400000,1,10.519850,90,30,20,50.871012,17.519850
"habit",0.108000,0,0.120000,0.060000,2,0,1,10.523618,80,20,20,51.187069,17.523618
"habit",0.180000,0.088000,0,0.060000,9,0.800000,1,10.524461,50,30,20,51.369134,17.524461
"habit",0.144000,0.088000,0,0.060000,9,0.600000,1,10.529199,80,40,20,51.592886,17.529199
"random",0.144000,0.220000,0.080000,0.060000,2,0,1,10.530360,90,30,20,50.869969,17.530360
"habit",0.180000,0.132000,0.160000,0.060000,2,0,1,10.531409,80,30,20,50.744405,17.531409
"habit",0.180000,0,0,0.060000,2,1,1,10.531665,100,20,20,50.740128,17.531665
"habit",0.180000,0.220000,0.200000,0.060000,2,0.600000,1,10.533090,80,20,20,50.752250,17.533090
"habit",0.180000,0,0.040000,0.060000,2,0,1,10.537769,90,10,20,50.726895,17.537769
"habit",0.144000,0.088000,0.040000,0.060000,2,0.200000,1,10.537839,80,40,20,50.926150,17.537839
"random",0.180000,0.088000,0.080000,0.060000,2,0,1,10.541192,80,30,20,50.751972,17.541192
"random",0.144000,0.132000,0,0.060000,12,0,1,10.542741,60,20,20,53.121266,17.542741
"habit",0.144000,0.132000,0.160000,0.060000,2,1,1,10.543724,80,30,20,50.909535,17.543724
"habit",0.108000,0.220000,0.040000,0.060000,2,0.600000,1,10.544236,90,20,20,51.125210,17.544236
"random",0.108000,0.044000,0.080000,0.060000,2,0,1,10.553053,90,20,20,51.141218,17.553053
"habit",0.108000,0.220000,0.200000,0.060000,2,0.200000,1,10.559779,80,20,20,51.178691,17.559779
"random",0.036000,0.132000,0.120000,0.060000,2,0,1,10.560289,90,30,20,53.476050,17.560289
"random",0.180000,0.088000,0.160000,0.060000,7,0,1,14.066580,80,0,10,69.884646,17.566580
"random",0.072000,0.132000,0.160000,0.060000,2,0,1,10.568644,100,10,20,51.742912,17.568644
"habit",0.180000,0.088000,0.040000,0.060000,2,0.400000,1,10.573915,90,40,20,50.721091,17.573915
"habit",0.072000,0.088000,0.080000,0.060000,2,0,1,10.575229,90,60,20,51.742253,17.575229
"habit",0.180000,0,0.200000,0.060000,7,0,1,14.075667,80,30,10,70.504206,17.575667
"random",0.108000,0.176000,0.120000,0.060000,2,0,1,10.580215,90,30,20,51.181871,17.580215
"random",0.108000,0.044000,0.040000,0.060000,2,0,1,10.580481,80,30,20,51.162038,17.580481
"random",0.072000,0.220000,0.040000,0.060000,2,0,1,10.583101,80,60,20,51.774708,17.583101
"random",0.108000,0.220000,0,0.060000,12,0,1,10.585669,70,40,20,54.014976,17.585669
"habit",0.072000,0.044000,0.160000,0.060000,2,0.200000,1,10.585810,90,40,20,51.740511,17.585810
"habit",0.144000,0.220000,0.120000,0.060000,2,0,1,10.590201,80,40,20,50.915519,17.590201
"random",0.144000,0.044000,0,0.060000,12,0,1,10.593734,70,50,20,53.067981,17.593734
"habit",0.108000,0.176000,0.200000,0.060000,2,0,1,10.601892,80,30,20,51.209501,17.601892
"habit",0.144000,0.176000,0.040000,0.060000,7,1,1,14.102219,70,30,10,73.969633,17.602219
"random",0.180000,0.176000,0,0.060000,14,0,1,10.603387,50,30,20,53.511369,17.603387
"random",0.108000,0.176000,0.080000,0.060000,2,0,1,10.605793,90,30,20,51.133459,17.605793
"habit",0.180000,0.176000,0.080000,0.060000,2,1,1,10.610466,90,10,20,50.709457,17.610466
"random",0.180000,0.176000,0,0.060000,12,0,1,10.612370,60,50,20,52.503972,17.612370
"random",0.108000,0.088000,0.080000,0.060000,2,0,1,10.616207,80,30,20,51.183899,17.616207
"random",0.180000,0.088000,0.160000,0.060000,2,0,1,10.617068,100,10,20,50.742785,17.617068
"random",0.144000,0.132000,0.200000,0.060000,2,0,1,10.622142,90,20,20,50.962947,17.622142
"random",0.072000,0.220000,0.200000,0.060000,2,0,1,10.639953,90,30,20,51.722858,17.639953
"habit",0.108000,0.044000,0.160000,0.060000,2,0.400000,1,10.651096,90,20,20,51.204898,17.651096
